,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Houston Oilers,16.0,411.0,667.0,61.6,4621.0,24.0,3.6,21.0,3.1,68.0,7.2,6.5,11.7,288.8,82.3,24.0,183.0,3.5,6.7,6.0,4.0,5.0
1,2.0,San Francisco 49ers,16.0,325.0,522.0,62.3,3997.0,29.0,5.6,12.0,2.3,97.0,8.0,8.1,12.8,249.8,96.2,24.0,170.0,4.4,7.3,7.4,2.0,2.0
2,3.0,Miami Dolphins,16.0,327.0,563.0,58.1,3889.0,26.0,4.6,14.0,2.5,54.0,7.2,7.0,12.5,243.1,85.7,28.0,188.0,4.7,6.6,6.4,1.0,3.0
3,4.0,Buffalo Bills,16.0,332.0,516.0,64.3,3871.0,39.0,7.6,19.0,3.7,77.0,8.0,7.9,12.5,241.9,99.0,35.0,269.0,6.4,7.0,6.9,3.0,4.0
4,5.0,Washington Redskins,16.0,261.0,447.0,58.4,3692.0,30.0,6.7,11.0,2.5,82.0,8.4,8.7,14.4,230.8,98.0,9.0,79.0,2.0,8.1,8.3,2.0,5.0
5,6.0,Atlanta Falcons,16.0,260.0,499.0,52.1,3449.0,30.0,6.0,22.0,4.4,80.0,7.3,6.5,14.0,215.6,77.5,31.0,185.0,5.8,6.5,5.8,4.0,5.0
6,7.0,Los Angeles Rams,16.0,289.0,518.0,55.8,3410.0,13.0,2.5,20.0,3.9,78.0,7.0,5.7,12.5,213.1,69.9,30.0,200.0,5.5,6.2,5.1,,
7,8.0,Dallas Cowboys,16.0,305.0,500.0,61.0,3390.0,16.0,3.2,12.0,2.4,66.0,7.3,6.9,12.0,211.9,84.1,38.0,273.0,7.1,6.3,5.9,4.0,4.0
8,9.0,Cleveland Browns,16.0,312.0,503.0,62.0,3304.0,19.0,3.8,10.0,2.0,71.0,7.1,6.9,11.4,206.5,87.5,42.0,243.0,7.7,6.1,5.9,2.0,1.0
9,10.0,New Orleans Saints,16.0,292.0,506.0,57.7,3259.0,20.0,4.0,15.0,3.0,65.0,6.8,6.2,11.7,203.7,79.2,19.0,160.0,3.6,6.2,5.7,1.0,1.0
10,11.0,Cincinnati Bengals,16.0,290.0,511.0,56.8,3158.0,14.0,2.7,22.0,4.3,53.0,6.7,5.3,11.8,197.4,68.4,33.0,255.0,6.1,5.8,4.5,2.0,2.0
11,12.0,New York Jets,16.0,295.0,503.0,58.6,3156.0,12.0,2.4,12.0,2.4,53.0,6.8,6.2,11.6,197.3,77.4,33.0,273.0,6.2,5.9,5.3,2.0,5.0
12,13.0,Chicago Bears,16.0,286.0,497.0,57.5,3120.0,16.0,3.2,17.0,3.4,84.0,6.6,5.7,11.5,195.0,74.1,26.0,172.0,5.0,6.0,5.1,3.0,3.0
13,14.0,Seattle Seahawks,16.0,290.0,488.0,59.4,3108.0,15.0,3.1,26.0,5.3,60.0,6.9,5.1,11.6,194.3,68.4,42.0,263.0,7.9,5.9,4.2,,
14,15.0,Kansas City Chiefs,16.0,284.0,479.0,59.3,3104.0,19.0,4.0,14.0,2.9,63.0,6.8,6.3,11.6,194.0,81.1,21.0,177.0,4.2,6.2,5.7,2.0,2.0
15,16.0,New England Patriots,16.0,284.0,481.0,59.0,3006.0,11.0,2.3,22.0,4.6,60.0,7.2,5.6,12.1,187.9,69.7,63.0,436.0,11.6,5.5,4.1,3.0,4.0
16,17.0,Denver Broncos,16.0,246.0,459.0,53.6,2997.0,13.0,2.8,12.0,2.6,71.0,7.2,6.6,13.5,187.3,75.3,46.0,313.0,9.1,5.9,5.4,1.0,4.0
17,18.0,Pittsburgh Steelers,16.0,259.0,476.0,54.4,2954.0,20.0,4.2,16.0,3.4,89.0,7.0,6.3,12.8,184.6,76.4,45.0,359.0,8.6,5.7,5.1,1.0,3.0
18,19.0,Green Bay Packers,16.0,272.0,514.0,52.9,2943.0,17.0,3.3,19.0,3.7,75.0,6.3,5.2,11.8,183.9,67.9,45.0,270.0,8.1,5.3,4.3,1.0,1.0
19,20.0,Philadelphia Eagles,16.0,285.0,513.0,55.6,2906.0,17.0,3.3,27.0,5.3,75.0,6.2,4.5,11.1,181.6,63.2,45.0,263.0,8.1,5.2,3.6,3.0,4.0
20,21.0,Minnesota Vikings,16.0,284.0,477.0,59.5,2883.0,16.0,3.4,16.0,3.4,50.0,6.3,5.5,10.6,180.2,75.2,28.0,133.0,5.5,5.7,4.9,0.0,1.0
21,22.0,Detroit Lions,16.0,252.0,459.0,54.9,2858.0,16.0,3.5,17.0,3.7,73.0,6.5,5.5,11.8,178.6,71.0,25.0,116.0,5.2,5.9,5.0,4.0,4.0
22,23.0,New York Giants,16.0,261.0,428.0,61.0,2844.0,13.0,3.0,8.0,1.9,55.0,7.1,6.8,11.6,177.8,84.7,36.0,181.0,7.8,6.1,5.9,1.0,3.0
23,24.0,San Diego Chargers,16.0,272.0,511.0,53.2,2747.0,13.0,2.5,16.0,3.1,58.0,5.8,4.9,11.0,171.7,66.2,35.0,236.0,6.4,5.0,4.2,2.0,3.0
24,25.0,Los Angeles Raiders,16.0,220.0,414.0,53.1,2719.0,20.0,4.8,18.0,4.3,80.0,7.2,6.2,13.5,169.9,74.3,33.0,258.0,7.4,6.1,5.2,2.0,1.0
25,26.0,Phoenix Cardinals,16.0,254.0,492.0,51.6,2667.0,10.0,2.0,25.0,5.1,62.0,6.2,4.3,12.0,166.7,56.4,43.0,372.0,8.0,5.0,3.3,,
26,27.0,Indianapolis Colts,16.0,305.0,512.0,59.6,2579.0,10.0,2.0,16.0,3.1,49.0,6.0,5.0,10.1,161.2,70.2,57.0,487.0,10.0,4.5,3.6,,
27,28.0,Tampa Bay Buccaneers,16.0,250.0,495.0,50.5,2572.0,13.0,2.6,29.0,5.9,87.0,6.0,3.9,11.8,160.8,53.4,56.0,383.0,10.2,4.7,2.8,1.0,1.0
28,,Avg Team,,285.8,498.2,57.4,3185.8,18.3,3.7,17.4,3.5,69.0,6.9,6.0,12.0,199.1,76.2,35.4,246.3,6.6,5.97,5.2,1.8,2.5
29,,League Total,,8003.0,13950.0,57.4,89203.0,511.0,3.7,488.0,3.5,97.0,6.9,6.0,12.0,199.1,76.2,992.0,6897.0,6.6,5.97,5.2,51.0,71.0
30,,Avg Tm/G,,17.9,31.1,57.4,199.1,1.1,3.7,1.1,3.5,,6.9,6.0,12.0,199.1,76.2,2.2,15.4,6.6,5.97,5.2,,
