,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Baltimore Colts,12.0,177.0,314.0,56.4,2388.0,25.0,8.0,19.0,6.1,82.0,8.3,7.2,14.7,199.0,85.0,28.0,220.0,8.2,7.0,5.9,3.0,3.0
1,2.0,New York Giants,12.0,147.0,269.0,54.6,2100.0,15.0,5.6,12.0,4.5,70.0,8.0,7.1,14.7,175.0,81.0,7.0,58.0,2.5,7.6,6.7,,
2,3.0,San Francisco 49ers,12.0,191.0,305.0,62.6,2036.0,17.0,5.6,18.0,5.9,46.0,7.9,6.4,12.6,169.7,81.1,46.0,371.0,13.1,5.8,4.5,6.0,7.0
3,4.0,Detroit Lions,12.0,163.0,361.0,45.2,2029.0,17.0,4.7,22.0,6.1,65.0,6.2,4.4,13.7,169.1,55.9,26.0,210.0,6.7,5.2,3.6,1.0,1.0
4,5.0,Los Angeles Rams,12.0,144.0,296.0,48.6,2001.0,21.0,7.1,23.0,7.8,70.0,7.6,5.5,15.7,166.8,65.7,32.0,255.0,9.8,6.1,4.2,1.0,1.0
5,6.0,Green Bay Packers,12.0,157.0,325.0,48.3,1791.0,12.0,3.7,23.0,7.1,77.0,6.6,4.2,13.7,149.3,52.8,46.0,366.0,12.4,4.8,2.7,2.0,2.0
6,7.0,Chicago Cardinals,12.0,111.0,271.0,41.0,1775.0,12.0,4.4,22.0,8.1,83.0,7.3,4.5,17.7,147.9,47.4,24.0,194.0,8.1,6.0,3.5,1.0,1.0
7,8.0,Chicago Bears,12.0,130.0,286.0,45.5,1768.0,7.0,2.4,28.0,9.8,74.0,6.8,2.9,15.0,147.3,36.9,22.0,177.0,7.1,5.7,2.1,0.0,1.0
8,9.0,Pittsburgh Steelers,12.0,149.0,312.0,47.8,1716.0,11.0,3.5,14.0,4.5,64.0,6.5,5.1,13.5,143.0,61.8,37.0,297.0,10.6,4.9,3.7,,
9,10.0,Cleveland Browns,12.0,108.0,195.0,55.4,1712.0,12.0,6.2,14.0,7.2,65.0,9.6,7.6,17.3,142.7,78.9,20.0,161.0,9.3,8.0,6.1,2.0,2.0
10,11.0,Washington Redskins,12.0,109.0,201.0,54.2,1621.0,11.0,5.5,13.0,6.5,82.0,8.7,6.8,16.0,135.1,74.7,15.0,120.0,6.9,7.5,5.8,0.0,1.0
11,12.0,Philadelphia Eagles,12.0,99.0,204.0,48.5,1155.0,10.0,4.9,23.0,11.3,67.0,6.8,2.7,13.9,96.3,47.4,28.0,224.0,12.1,5.0,1.4,,
12,,Avg Team,,140.4,278.3,50.5,1841.0,14.2,5.1,19.3,6.9,70.0,7.4,5.3,14.7,153.4,63.2,27.6,221.1,9.0,6.02,4.1,1.3,1.6
13,,League Total,,1685.0,3339.0,50.5,22092.0,170.0,5.1,231.0,6.9,83.0,7.4,5.3,14.7,153.4,63.2,331.0,2653.0,9.0,6.02,4.1,16.0,19.0
14,,Avg Tm/G,,11.7,23.2,50.5,153.4,1.2,5.1,1.6,6.9,,7.4,5.3,14.7,153.4,63.2,2.3,18.4,9.0,6.02,4.1,,
