,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Washington Redskins,11.0,144.0,244.0,59.0,1887.0,18.0,7.4,22.0,9.0,81.0,7.7,5.2,13.1,171.5,70.5,0.0,0.0,0,7.7,5.2,,
1,2.0,Philadelphia Eagles,11.0,152.0,362.0,42.0,1855.0,6.0,1.7,20.0,5.5,47.0,5.1,3.0,12.2,168.6,40.9,0.0,0.0,0,5.1,3.0,0.0,0.0
2,3.0,Green Bay Packers,11.0,118.0,283.0,41.7,1796.0,18.0,6.4,26.0,9.2,55.0,6.3,3.5,15.2,163.3,46.2,0.0,0.0,0,6.3,3.5,,
3,4.0,Cleveland Rams,11.0,109.0,247.0,44.1,1582.0,12.0,4.9,25.0,10.1,38.0,6.4,2.8,14.5,143.8,42.2,0.0,0.0,0,6.4,2.8,0.0,0.0
4,5.0,Chicago Bears,11.0,68.0,171.0,39.8,1401.0,10.0,5.8,15.0,8.8,74.0,8.2,5.4,20.6,127.4,52.3,0.0,0.0,0,8.2,5.4,,
5,6.0,Brooklyn Dodgers,11.0,80.0,191.0,41.9,1267.0,14.0,7.3,13.0,6.8,71.0,6.6,5.0,15.8,115.2,60.7,0.0,0.0,0,6.6,5.0,0.0,0.0
6,7.0,Detroit Lions,11.0,86.0,195.0,44.1,1177.0,3.0,1.5,27.0,13.8,0.0,6.0,0.1,13.7,107.0,29.5,0.0,0.0,0,6.0,0.1,,
7,8.0,New York Giants,11.0,78.0,174.0,44.8,1036.0,9.0,5.2,15.0,8.6,60.0,6.0,3.1,13.3,94.2,45.6,0.0,0.0,0,6.0,3.1,,
8,9.0,Chicago Cardinals,11.0,75.0,198.0,37.9,912.0,6.0,3.0,33.0,16.7,41.0,4.6,-2.3,12.2,82.9,23.4,0.0,0.0,0,4.6,-2.3,0.0,0.0
9,10.0,Pittsburgh Steelers,11.0,58.0,189.0,30.7,875.0,4.0,2.1,27.0,14.3,31.0,4.6,-1.4,15.1,79.5,14.4,0.0,0.0,0,4.6,-1.4,0.0,0.0
10,,Avg Team,,96.8,225.4,42.9,1378.8,10.0,4.4,22.3,9.9,50.0,6.1,2.6,14.2,125.3,38.6,0.0,0.0,0,6.12,2.6,0.0,0.0
11,,League Total,,968.0,2254.0,42.9,13788.0,100.0,4.4,223.0,9.9,81.0,6.1,2.6,14.2,125.3,38.6,0.0,0.0,0,6.12,2.6,0.0,0.0
12,,Avg Tm/G,,8.8,20.5,42.9,125.3,0.9,4.4,2.0,9.9,,6.1,2.6,14.2,125.3,38.6,0.0,0.0,0,6.12,2.6,,
