,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,Tampa Bay Buccaneers,17.0,492.0,731.0,67.3,5229.0,43.0,5.9,12.0,1.6,62.0,7.4,7.8,10.9,307.6,101.6,23.0,154.0,3.1,6.9,7.4,3.0,5.0,197.87
1,2.0,Los Angeles Chargers,17.0,443.0,674.0,65.7,4800.0,38.0,5.6,15.0,2.2,72.0,7.4,7.6,11.3,282.4,97.4,31.0,214.0,4.4,6.8,6.9,5.0,5.0,168.57
2,3.0,Dallas Cowboys,17.0,444.0,647.0,68.6,4800.0,40.0,6.2,11.0,1.7,73.0,7.7,8.1,11.2,282.4,104.8,33.0,163.0,4.9,7.1,7.5,2.0,3.0,161.67
3,4.0,Kansas City Chiefs,17.0,448.0,675.0,66.4,4791.0,37.0,5.5,13.0,1.9,75.0,7.3,7.5,11.0,281.8,98.1,28.0,146.0,4.0,6.8,7.0,3.0,3.0,236.96
4,5.0,Los Angeles Rams,17.0,406.0,607.0,66.9,4642.0,41.0,6.8,18.0,3.0,79.0,8.1,8.1,12.1,273.1,101.6,31.0,251.0,4.9,7.3,7.3,3.0,4.0,237.3
5,6.0,Las Vegas Raiders,17.0,429.0,628.0,68.3,4567.0,23.0,3.7,14.0,2.2,61.0,7.7,7.4,11.2,268.6,93.8,40.0,241.0,6.0,6.8,6.6,3.0,6.0,123.07
6,7.0,Cincinnati Bengals,17.0,384.0,555.0,69.2,4403.0,36.0,6.5,14.0,2.5,82.0,8.7,8.8,12.5,259.0,106.9,55.0,403.0,9.0,7.2,7.4,2.0,4.0,149.63
7,8.0,Green Bay Packers,17.0,402.0,593.0,67.8,4315.0,39.0,6.6,7.0,1.2,75.0,7.6,8.4,11.3,253.8,107.4,33.0,211.0,5.3,6.9,7.6,1.0,2.0,168.4
8,9.0,Buffalo Bills,17.0,415.0,655.0,63.4,4284.0,36.0,5.5,16.0,2.4,61.0,6.8,6.8,10.7,252.0,91.3,27.0,166.0,4.0,6.3,6.3,,,167.77
9,10.0,Arizona Cardinals,17.0,415.0,591.0,70.2,4276.0,27.0,4.6,11.0,1.9,77.0,7.8,7.9,11.1,251.5,100.6,39.0,343.0,6.2,6.8,6.9,1.0,1.0,127.5
10,11.0,Minnesota Vikings,17.0,398.0,604.0,65.9,4238.0,34.0,5.6,7.0,1.2,64.0,7.4,8.0,11.2,249.3,101.6,30.0,212.0,4.7,6.7,7.3,3.0,4.0,130.7
11,12.0,San Francisco 49ers,17.0,343.0,514.0,66.7,4221.0,26.0,5.1,14.0,2.7,83.0,8.6,8.4,12.9,248.3,99.2,33.0,216.0,6.0,7.7,7.5,3.0,3.0,149.76
12,13.0,Baltimore Ravens,17.0,396.0,611.0,64.8,3961.0,21.0,3.4,18.0,2.9,49.0,7.0,6.3,10.8,233.0,84.4,57.0,306.0,8.5,5.9,5.3,5.0,5.0,34.1
13,14.0,New England Patriots,17.0,364.0,535.0,68.0,3857.0,24.0,4.5,13.0,2.4,75.0,7.7,7.5,11.3,226.9,95.5,28.0,241.0,5.0,6.9,6.7,1.0,1.0,115.8
14,15.0,Pittsburgh Steelers,17.0,425.0,664.0,64.0,3778.0,23.0,3.5,11.0,1.7,59.0,6.0,6.0,9.5,222.2,85.3,38.0,239.0,5.4,5.4,5.3,7.0,7.0,15.15
15,16.0,Atlanta Falcons,17.0,377.0,573.0,65.8,3713.0,20.0,3.5,15.0,2.6,64.0,7.0,6.5,10.6,218.4,86.6,40.0,274.0,6.5,6.1,5.6,3.0,4.0,32.37
16,17.0,Miami Dolphins,17.0,404.0,615.0,65.7,3651.0,21.0,3.4,14.0,2.3,65.0,6.4,6.1,9.7,214.8,85.4,40.0,285.0,6.1,5.6,5.3,0.0,2.0,44.64
17,18.0,Detroit Lions,17.0,396.0,593.0,66.8,3598.0,23.0,3.9,14.0,2.4,75.0,6.5,6.3,9.8,211.6,88.1,36.0,286.0,5.7,5.7,5.4,2.0,2.0,41.61
18,19.0,Denver Broncos,17.0,354.0,541.0,65.4,3593.0,20.0,3.7,9.0,1.7,64.0,7.1,7.1,10.9,211.4,91.7,40.0,263.0,6.9,6.2,6.2,0.0,1.0,82.98
19,20.0,New York Jets,17.0,357.0,603.0,59.2,3541.0,20.0,3.3,20.0,3.3,62.0,6.6,5.7,11.1,208.3,76.0,53.0,418.0,8.1,5.4,4.6,2.0,2.0,-31.09
