,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Washington Redskins,14.0,254.0,413.0,61.5,2802.0,22.0,5.3,11.0,2.7,69.0,7.2,7.1,11.7,200.1,90.0,25.0,176.0,5.7,6.4,6.3,2.0,2.0
1,2.0,Minnesota Vikings,14.0,234.0,400.0,58.5,2755.0,22.0,5.5,13.0,3.3,80.0,7.3,6.9,12.4,196.8,85.9,19.0,154.0,4.5,6.6,6.2,1.0,1.0
2,3.0,Dallas Cowboys,14.0,206.0,385.0,53.5,2529.0,14.0,3.6,15.0,3.9,58.0,7.4,6.4,13.9,180.6,73.5,47.0,327.0,10.9,5.9,4.9,3.0,4.0
3,4.0,Cincinnati Bengals,14.0,224.0,353.0,63.5,2511.0,18.0,5.1,13.0,3.7,77.0,7.9,7.3,12.5,179.4,89.7,37.0,293.0,9.5,6.4,5.9,,
4,5.0,New York Jets,14.0,194.0,369.0,52.6,2436.0,20.0,5.4,24.0,6.5,89.0,7.1,5.3,13.6,174.0,66.6,19.0,195.0,4.9,6.3,4.5,3.0,3.0
5,6.0,Oakland Raiders,14.0,186.0,335.0,55.5,2384.0,28.0,8.4,18.0,5.4,67.0,7.6,6.9,13.8,170.3,85.7,24.0,177.0,6.7,6.6,5.9,3.0,3.0
6,7.0,St. Louis Cardinals,14.0,201.0,391.0,51.4,2358.0,20.0,5.1,8.0,2.0,81.0,6.4,6.5,12.4,168.4,80.0,16.0,134.0,3.9,5.8,5.9,1.0,2.0
7,8.0,New England Patriots,14.0,177.0,359.0,49.3,2340.0,19.0,5.3,23.0,6.4,69.0,7.0,5.2,14.2,167.1,63.3,21.0,174.0,5.5,6.2,4.4,1.0,1.0
8,9.0,Denver Broncos,14.0,184.0,329.0,55.9,2328.0,18.0,5.5,17.0,5.2,73.0,8.1,6.9,14.5,166.3,79.1,46.0,332.0,12.3,6.2,5.1,2.0,1.0
9,10.0,San Diego Chargers,14.0,165.0,349.0,47.3,2304.0,12.0,3.4,22.0,6.3,75.0,7.1,5.0,15.0,164.6,56.3,23.0,175.0,6.2,6.2,4.2,3.0,4.0
10,11.0,Detroit Lions,14.0,216.0,377.0,57.3,2220.0,11.0,2.9,11.0,2.9,56.0,6.6,5.8,11.5,158.6,74.8,35.0,255.0,8.5,5.4,4.7,4.0,4.0
