,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Baltimore Colts,12.0,196.0,375.0,52.3,2753.0,33.0,8.8,14.0,3.7,71.0,7.8,7.9,15.0,229.4,92.1,23.0,185.0,5.8,6.9,7.0,2.0,3.0
1,2.0,Philadelphia Eagles,12.0,194.0,352.0,55.1,2572.0,17.0,4.8,16.0,4.5,71.0,7.5,6.4,13.6,214.3,76.5,9.0,72.0,2.5,7.1,6.1,1.0,3.0
2,3.0,New York Giants,12.0,165.0,302.0,54.6,2527.0,18.0,6.0,13.0,4.3,77.0,8.7,8.0,16.0,210.6,85.9,13.0,106.0,4.1,8.0,7.3,1.0,1.0
3,4.0,Los Angeles Rams,12.0,196.0,356.0,55.1,2482.0,14.0,3.9,22.0,6.2,72.0,7.6,5.7,13.9,206.8,67.2,30.0,241.0,7.8,6.4,4.6,0.0,1.0
4,5.0,Chicago Bears,12.0,156.0,310.0,50.3,2073.0,15.0,4.8,16.0,5.2,88.0,7.4,6.0,14.6,172.8,69.3,26.0,211.0,7.7,6.2,4.9,,
5,6.0,Pittsburgh Steelers,12.0,150.0,319.0,47.0,2052.0,21.0,6.6,23.0,7.2,68.0,7.2,5.3,15.3,171.0,63.2,31.0,246.0,8.9,5.9,4.1,3.0,2.0
6,7.0,Cleveland Browns,12.0,159.0,276.0,57.6,1866.0,14.0,5.1,9.0,3.3,76.0,7.4,6.9,12.8,155.5,84.1,21.0,167.0,7.1,6.3,5.9,1.0,1.0
7,8.0,Green Bay Packers,12.0,128.0,268.0,47.8,1832.0,16.0,6.0,17.0,6.3,81.0,7.3,5.7,15.3,152.7,65.9,16.0,131.0,5.6,6.5,4.9,2.0,2.0
8,9.0,Detroit Lions,12.0,136.0,328.0,41.5,1664.0,10.0,3.0,27.0,8.2,79.0,6.5,3.4,15.7,138.7,39.6,58.0,467.0,15.0,4.3,1.7,,
9,10.0,Chicago Cardinals,12.0,125.0,280.0,44.6,1559.0,14.0,5.0,19.0,6.8,85.0,6.3,4.3,14.1,129.9,54.0,26.0,207.0,8.5,5.1,3.2,,
10,11.0,San Francisco 49ers,12.0,132.0,264.0,50.0,1549.0,12.0,4.5,22.0,8.3,75.0,6.4,3.5,12.8,129.1,50.8,17.0,136.0,6.0,5.5,2.8,1.0,1.0
11,12.0,Washington Redskins,12.0,121.0,284.0,42.6,1523.0,13.0,4.6,23.0,8.1,70.0,6.4,3.7,15.1,126.9,45.9,38.0,301.0,11.8,4.7,2.3,0.0,1.0
12,,Avg Team,,154.8,309.5,50.0,2037.7,16.4,5.3,18.4,6.0,76.0,7.2,5.6,14.5,169.8,66.9,25.7,205.8,7.7,6.08,4.6,0.9,1.3
13,,League Total,,1858.0,3714.0,50.0,24452.0,197.0,5.3,221.0,6.0,88.0,7.2,5.6,14.5,169.8,66.9,308.0,2470.0,7.7,6.08,4.6,11.0,15.0
14,,Avg Tm/G,,12.9,25.8,50.0,169.8,1.4,5.3,1.5,6.0,,7.2,5.6,14.5,169.8,66.9,2.1,17.2,7.7,6.08,4.6,,
