,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,Minnesota Vikings,14.0,379.0,4096.0,869.0,4.7,30.0,12.0,239.0,176.0,346.0,2246.0,24.0,18.0,5.9,117.0,489.0,1850.0,15.0,3.8,102.0,67.0,744.0,20.0,,
1,2.0,Dallas Cowboys,14.0,369.0,5122.0,931.0,5.5,30.0,12.0,275.0,189.0,355.0,2846.0,24.0,18.0,7.1,125.0,532.0,2276.0,17.0,4.3,133.0,81.0,840.0,17.0,,
2,3.0,Cleveland Browns,14.0,351.0,4428.0,845.0,5.2,35.0,14.0,250.0,199.0,378.0,2640.0,24.0,21.0,6.6,138.0,447.0,1788.0,17.0,4.0,97.0,58.0,603.0,15.0,,
3,4.0,Los Angeles Rams,14.0,320.0,3934.0,815.0,4.8,18.0,11.0,209.0,222.0,416.0,2521.0,25.0,7.0,5.8,114.0,382.0,1413.0,8.0,3.7,75.0,95.0,994.0,20.0,,
4,5.0,St. Louis Cardinals,14.0,314.0,4185.0,833.0,5.0,35.0,10.0,224.0,216.0,430.0,2739.0,19.0,25.0,6.1,125.0,382.0,1446.0,17.0,3.8,83.0,72.0,765.0,16.0,,
5,6.0,New Orleans Saints,14.0,311.0,4679.0,879.0,5.3,32.0,12.0,282.0,245.0,453.0,2974.0,22.0,20.0,6.2,158.0,399.0,1705.0,12.0,4.3,93.0,83.0,943.0,31.0,,
6,7.0,Washington Redskins,14.0,307.0,4316.0,861.0,5.0,26.0,10.0,256.0,275.0,444.0,2784.0,22.0,16.0,5.8,149.0,377.0,1532.0,11.0,4.1,84.0,74.0,756.0,23.0,,
7,8.0,Baltimore Colts,14.0,279.0,4477.0,865.0,5.2,39.0,12.0,255.0,225.0,429.0,2987.0,17.0,27.0,6.7,140.0,417.0,1490.0,16.0,3.6,99.0,62.0,561.0,16.0,,
8,9.0,Philadelphia Eagles,14.0,279.0,4345.0,882.0,4.9,39.0,11.0,231.0,216.0,458.0,2782.0,20.0,28.0,5.7,132.0,395.0,1563.0,10.0,4.0,83.0,80.0,843.0,16.0,,
9,10.0,San Francisco 49ers,14.0,277.0,4694.0,914.0,5.1,38.0,12.0,253.0,278.0,496.0,3158.0,22.0,26.0,6.0,153.0,391.0,1536.0,13.0,3.9,84.0,85.0,845.0,16.0,,
10,11.0,Atlanta Falcons,14.0,276.0,3811.0,800.0,4.8,31.0,19.0,209.0,149.0,282.0,1753.0,20.0,12.0,5.1,89.0,455.0,2058.0,9.0,4.5,97.0,63.0,601.0,23.0,,
11,12.0,Green Bay Packers,14.0,269.0,4068.0,785.0,5.2,38.0,21.0,242.0,182.0,319.0,2376.0,20.0,17.0,6.7,122.0,432.0,1692.0,11.0,3.9,95.0,63.0,602.0,25.0,,
12,13.0,New York Giants,14.0,264.0,4368.0,869.0,5.0,23.0,15.0,235.0,234.0,435.0,2775.0,24.0,8.0,5.9,133.0,397.0,1593.0,8.0,4.0,91.0,70.0,777.0,11.0,,
13,14.0,Detroit Lions,14.0,259.0,3355.0,845.0,4.0,30.0,12.0,198.0,165.0,329.0,1600.0,12.0,18.0,4.3,93.0,474.0,1755.0,11.0,3.7,83.0,71.0,734.0,22.0,,
14,15.0,Pittsburgh Steelers,14.0,218.0,3626.0,843.0,4.3,49.0,20.0,210.0,176.0,391.0,2084.0,17.0,29.0,4.7,115.0,400.0,1542.0,8.0,3.9,81.0,67.0,659.0,14.0,,
15,16.0,Chicago Bears,14.0,210.0,3568.0,901.0,4.0,38.0,17.0,237.0,193.0,384.0,1490.0,11.0,21.0,3.4,97.0,462.0,2078.0,14.0,4.5,120.0,89.0,940.0,20.0,,
16,,Avg Team,,292.6,4192.0,858.6,4.9,33.2,13.8,237.8,208.8,396.6,2484.7,20.2,19.4,5.8,125.0,426.9,1707.3,12.3,4.0,93.8,73.8,762.9,19.1,,
17,,League Total,,4682.0,67072.0,13737.0,4.9,531.0,220.0,3805.0,3340.0,6345.0,39755.0,323.0,311.0,5.8,2000.0,6831.0,27317.0,197.0,4.0,1500.0,1180.0,12207.0,305.0,,
18,,Avg Tm/G,,20.9,299.4,61.3,4.9,2.4,1.0,17.0,14.9,28.3,177.5,1.4,1.4,5.8,8.9,30.5,122.0,0.9,4.0,6.7,5.3,54.5,1.4,,
