,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
0,1.0,Atlanta Falcons,16.0,540.0,6653.0,995.0,6.7,11.0,4.0,379.0,374.0,537.0,4725.0,38.0,7.0,8.2,239.0,421.0,1928.0,20.0,4.6,108.0,104.0,848.0,32.0,52.6,6.3,212.07
1,2.0,New Orleans Saints,16.0,469.0,6816.0,1105.0,6.2,24.0,9.0,395.0,472.0,674.0,5074.0,38.0,15.0,7.2,265.0,404.0,1742.0,17.0,4.3,105.0,107.0,969.0,25.0,45.9,12.7,76.86
2,3.0,New England Patriots,16.0,441.0,6180.0,1056.0,5.9,11.0,9.0,351.0,368.0,550.0,4308.0,32.0,2.0,7.5,203.0,482.0,1872.0,19.0,3.9,109.0,93.0,819.0,39.0,42.9,4.9,113.38
3,4.0,Green Bay Packers,16.0,432.0,5900.0,1029.0,5.7,17.0,9.0,349.0,403.0,620.0,4199.0,40.0,8.0,6.4,222.0,374.0,1701.0,11.0,4.5,91.0,100.0,827.0,36.0,43.8,9.1,115.16
4,5.0,Dallas Cowboys,16.0,421.0,6027.0,1010.0,6.0,15.0,9.0,358.0,325.0,483.0,3631.0,25.0,6.0,7.1,191.0,499.0,2396.0,24.0,4.8,142.0,105.0,879.0,25.0,43.9,8.7,86.3
5,6.0,Arizona Cardinals,16.0,418.0,5868.0,1086.0,5.4,28.0,11.0,368.0,383.0,646.0,4136.0,28.0,17.0,6.0,229.0,399.0,1732.0,20.0,4.3,97.0,104.0,889.0,42.0,35.0,14.2,-25.79
6,7.0,Oakland Raiders,16.0,416.0,5973.0,1048.0,5.7,14.0,7.0,333.0,379.0,596.0,4051.0,29.0,7.0,6.6,198.0,434.0,1922.0,17.0,4.4,98.0,147.0,1247.0,37.0,38.7,7.2,-24.48
7,8.0,Indianapolis Colts,16.0,411.0,5830.0,1037.0,5.6,22.0,7.0,351.0,370.0,584.0,4202.0,32.0,15.0,6.7,220.0,409.0,1628.0,13.0,4.0,93.0,103.0,883.0,38.0,40.6,12.2,68.23
8,9.0,San Diego Chargers,16.0,410.0,5708.0,1014.0,5.6,35.0,14.0,340.0,349.0,580.0,4198.0,33.0,21.0,6.8,214.0,398.0,1510.0,10.0,3.8,90.0,107.0,780.0,36.0,38.1,18.2,-29.1
9,10.0,Buffalo Bills,16.0,399.0,5666.0,1012.0,5.6,12.0,5.0,328.0,286.0,474.0,3036.0,17.0,7.0,5.8,155.0,492.0,2630.0,29.0,5.3,146.0,112.0,960.0,27.0,36.7,6.8,60.85
