,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,Dallas Cowboys,14.0,445.0,5145.0,926.0,5.6,24.0,10.0,287.0,214.0,413.0,3023.0,27.0,14.0,6.6,139.0,471.0,2122.0,24.0,4.5,124.0,83.0,824.0,24.0,,
1,2.0,Cleveland Browns,14.0,403.0,5071.0,846.0,6.0,25.0,10.0,278.0,212.0,402.0,2905.0,33.0,15.0,6.7,142.0,415.0,2166.0,18.0,5.2,117.0,69.0,747.0,19.0,,
2,3.0,Washington Redskins,14.0,351.0,4391.0,826.0,5.3,35.0,15.0,225.0,255.0,443.0,3014.0,28.0,20.0,6.4,130.0,356.0,1377.0,9.0,3.9,78.0,64.0,591.0,17.0,,
3,4.0,Green Bay Packers,14.0,335.0,4275.0,824.0,5.2,24.0,19.0,231.0,193.0,318.0,2602.0,18.0,5.0,7.5,115.0,475.0,1673.0,18.0,3.5,98.0,57.0,544.0,18.0,,
4,5.0,Philadelphia Eagles,14.0,326.0,3759.0,891.0,4.2,39.0,17.0,231.0,179.0,378.0,1900.0,14.0,22.0,4.6,104.0,478.0,1859.0,19.0,3.9,112.0,63.0,666.0,15.0,,
5,6.0,San Francisco 49ers,14.0,320.0,4782.0,952.0,5.0,38.0,12.0,282.0,261.0,500.0,2992.0,21.0,26.0,5.6,153.0,422.0,1790.0,12.0,4.2,101.0,86.0,819.0,28.0,,
6,7.0,Pittsburgh Steelers,14.0,316.0,3446.0,842.0,4.1,39.0,17.0,207.0,188.0,401.0,2354.0,18.0,22.0,5.0,117.0,375.0,1092.0,13.0,2.9,65.0,75.0,768.0,25.0,,
7,8.0,Baltimore Colts,14.0,314.0,4486.0,849.0,5.3,39.0,12.0,237.0,221.0,401.0,2930.0,26.0,27.0,6.8,142.0,418.0,1556.0,7.0,3.7,82.0,64.0,617.0,13.0,,
8,9.0,Minnesota Vikings,14.0,292.0,4639.0,1013.0,4.6,36.0,14.0,279.0,216.0,417.0,2548.0,18.0,22.0,5.5,132.0,551.0,2091.0,15.0,3.8,126.0,67.0,787.0,21.0,,
9,10.0,Los Angeles Rams,14.0,289.0,4282.0,952.0,4.5,29.0,12.0,255.0,249.0,450.0,2540.0,12.0,17.0,5.0,133.0,448.0,1742.0,12.0,3.9,103.0,72.0,651.0,19.0,,
10,11.0,St. Louis Cardinals,14.0,264.0,3541.0,882.0,4.0,37.0,18.0,212.0,180.0,386.0,1940.0,13.0,19.0,4.6,108.0,458.0,1601.0,10.0,3.5,88.0,67.0,586.0,16.0,,
11,12.0,New York Giants,14.0,263.0,3932.0,866.0,4.5,44.0,13.0,236.0,208.0,424.0,2475.0,20.0,31.0,5.1,129.0,380.0,1457.0,7.0,3.8,80.0,57.0,602.0,27.0,,
12,13.0,Chicago Bears,14.0,234.0,3699.0,830.0,4.5,35.0,12.0,196.0,159.0,338.0,1772.0,10.0,23.0,4.8,85.0,463.0,1927.0,12.0,4.2,96.0,80.0,714.0,15.0,,
13,14.0,Detroit Lions,14.0,206.0,3853.0,885.0,4.4,49.0,21.0,216.0,239.0,456.0,2424.0,8.0,28.0,4.9,126.0,394.0,1429.0,13.0,3.6,73.0,82.0,931.0,17.0,,
14,15.0,Atlanta Falcons,14.0,204.0,3536.0,824.0,4.3,44.0,17.0,211.0,175.0,381.0,2017.0,14.0,27.0,4.8,104.0,405.0,1519.0,11.0,3.8,85.0,79.0,753.0,22.0,,
15,,Avg Team,,304.1,4189.1,880.5,4.8,35.8,14.6,238.9,209.9,407.2,2495.7,18.7,21.2,5.6,123.9,433.9,1693.4,13.3,3.9,95.2,71.0,706.7,19.7,,
16,,League Total,,4562.0,62837.0,13208.0,4.8,537.0,219.0,3583.0,3149.0,6108.0,37436.0,280.0,318.0,5.6,1859.0,6509.0,25401.0,200.0,3.9,1428.0,1065.0,10600.0,296.0,,
17,,Avg Tm/G,,21.7,299.2,62.9,4.8,2.6,1.0,17.1,15.0,29.1,178.3,1.3,1.5,5.6,8.9,31.0,121.0,1.0,3.9,6.8,5.1,50.5,1.4,,
