,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,Cleveland Browns,12.0,349.0,3970.0,804.0,4.9,29.0,18.0,224.0,130.0,234.0,1950.0,21.0,11.0,7.3,98.0,536.0,2020.0,20.0,3.8,111.0,64.0,603.0,15.0,,
1,2.0,Chicago Bears,12.0,294.0,4316.0,816.0,5.3,41.0,18.0,235.0,145.0,306.0,1928.0,17.0,23.0,5.9,101.0,487.0,2388.0,19.0,4.9,118.0,57.0,498.0,16.0,,
2,3.0,New York Giants,12.0,267.0,3453.0,719.0,4.8,31.0,16.0,189.0,137.0,292.0,1760.0,17.0,15.0,5.8,86.0,414.0,1693.0,12.0,4.1,92.0,50.0,458.0,11.0,,
3,4.0,Los Angeles Rams,12.0,260.0,4004.0,813.0,4.9,28.0,10.0,233.0,175.0,344.0,2061.0,9.0,18.0,5.7,103.0,451.0,1943.0,17.0,4.3,118.0,64.0,612.0,12.0,,
4,5.0,Green Bay Packers,12.0,258.0,3662.0,809.0,4.5,44.0,25.0,213.0,159.0,348.0,1779.0,17.0,19.0,4.7,95.0,433.0,1883.0,11.0,4.3,106.0,41.0,401.0,12.0,,
5,6.0,Philadelphia Eagles,12.0,248.0,3789.0,820.0,4.6,45.0,21.0,219.0,198.0,400.0,2472.0,19.0,24.0,5.8,128.0,392.0,1317.0,9.0,3.4,71.0,61.0,542.0,20.0,,
6,7.0,Washington Redskins,12.0,246.0,3348.0,760.0,4.4,42.0,21.0,193.0,101.0,257.0,1348.0,11.0,21.0,4.8,71.0,478.0,2000.0,17.0,4.2,101.0,60.0,648.0,21.0,,
7,8.0,Detroit Lions,12.0,230.0,3887.0,809.0,4.8,41.0,19.0,224.0,204.0,400.0,2410.0,15.0,22.0,5.8,119.0,392.0,1477.0,11.0,3.8,88.0,51.0,526.0,17.0,,
8,9.0,Chicago Cardinals,12.0,224.0,2971.0,740.0,4.0,45.0,20.0,150.0,106.0,280.0,1345.0,14.0,25.0,4.5,53.0,438.0,1626.0,10.0,3.7,84.0,82.0,695.0,13.0,,
9,10.0,San Francisco 49ers,12.0,216.0,3651.0,747.0,4.9,46.0,18.0,204.0,151.0,303.0,1938.0,17.0,28.0,5.7,89.0,408.0,1713.0,12.0,4.2,102.0,64.0,541.0,13.0,,
10,11.0,Baltimore Colts,12.0,214.0,3464.0,743.0,4.7,30.0,8.0,206.0,134.0,266.0,1631.0,11.0,22.0,5.7,92.0,456.0,1833.0,15.0,4.0,93.0,59.0,565.0,21.0,,
11,12.0,Pittsburgh Steelers,12.0,195.0,3671.0,830.0,4.4,47.0,17.0,211.0,189.0,390.0,2387.0,12.0,30.0,5.8,119.0,420.0,1284.0,13.0,3.1,74.0,67.0,604.0,18.0,,
12,,Avg Team,,250.1,3682.2,784.2,4.7,39.1,17.6,208.4,152.4,318.3,1917.4,15.0,21.5,5.6,96.2,442.1,1764.8,13.8,4.0,96.5,60.0,557.8,15.8,,
13,,League Total,,3001.0,44186.0,9410.0,4.7,469.0,211.0,2501.0,1829.0,3820.0,23009.0,180.0,258.0,5.6,1154.0,5305.0,21177.0,166.0,4.0,1158.0,720.0,6693.0,189.0,,
14,,Avg Tm/G,,20.8,306.8,65.3,4.7,3.3,1.5,17.4,12.7,26.5,159.8,1.3,1.8,5.6,8.0,36.8,147.1,1.2,4.0,8.0,5.0,46.5,1.3,,
