,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,San Diego Chargers,9.0,288.0,4048.0,617.0,6.6,20.0,8.0,233.0,208.0,338.0,2927.0,19.0,12.0,8.4,145.0,267.0,1121.0,15.0,4.2,72.0,64.0,530.0,16.0,,
1,2.0,Los Angeles Raiders,9.0,260.0,2955.0,582.0,5.1,24.0,9.0,175.0,154.0,267.0,1875.0,14.0,15.0,6.5,95.0,292.0,1080.0,15.0,3.7,65.0,86.0,840.0,15.0,,
2,3.0,New York Jets,9.0,245.0,3218.0,606.0,5.3,18.0,9.0,193.0,165.0,279.0,1901.0,16.0,9.0,6.3,95.0,304.0,1317.0,13.0,4.3,87.0,63.0,533.0,11.0,,
3,4.0,Cincinnati Bengals,9.0,232.0,3288.0,606.0,5.4,16.0,7.0,207.0,219.0,310.0,2339.0,12.0,9.0,6.9,123.0,269.0,949.0,13.0,3.5,63.0,56.0,475.0,21.0,,
4,5.0,Dallas Cowboys,9.0,226.0,3199.0,579.0,5.5,26.0,12.0,180.0,160.0,258.0,1886.0,16.0,14.0,6.7,99.0,296.0,1313.0,10.0,4.4,70.0,42.0,304.0,11.0,,
5,6.0,Green Bay Packers,9.0,226.0,2910.0,582.0,5.0,26.0,11.0,175.0,143.0,267.0,1829.0,12.0,15.0,6.1,97.0,283.0,1081.0,12.0,3.8,59.0,42.0,343.0,19.0,,
6,7.0,San Francisco 49ers,9.0,209.0,3242.0,587.0,5.5,21.0,10.0,183.0,215.0,348.0,2502.0,17.0,11.0,6.8,121.0,219.0,740.0,6.0,3.4,49.0,45.0,451.0,13.0,,
7,8.0,Pittsburgh Steelers,9.0,204.0,2970.0,583.0,5.1,25.0,9.0,171.0,141.0,275.0,1783.0,17.0,16.0,6.1,91.0,289.0,1187.0,7.0,4.1,69.0,59.0,459.0,11.0,,
8,9.0,Los Angeles Rams,9.0,200.0,3024.0,563.0,5.4,24.0,10.0,163.0,166.0,297.0,1999.0,11.0,14.0,6.4,90.0,251.0,1025.0,13.0,4.1,61.0,63.0,550.0,12.0,,
9,10.0,Miami Dolphins,9.0,198.0,2658.0,582.0,4.6,23.0,10.0,165.0,129.0,238.0,1314.0,8.0,13.0,5.3,66.0,333.0,1344.0,11.0,4.0,84.0,34.0,240.0,15.0,,
10,11.0,Philadelphia Eagles,9.0,191.0,2685.0,530.0,5.1,23.0,10.0,157.0,168.0,288.0,1856.0,12.0,13.0,5.8,100.0,211.0,829.0,11.0,3.9,48.0,38.0,253.0,9.0,,
11,12.0,Washington Redskins,9.0,190.0,2985.0,598.0,5.0,16.0,7.0,165.0,162.0,253.0,1845.0,13.0,9.0,6.5,87.0,315.0,1140.0,5.0,3.6,66.0,46.0,404.0,12.0,,
12,13.0,Minnesota Vikings,9.0,187.0,2879.0,601.0,4.8,17.0,5.0,167.0,187.0,334.0,1967.0,15.0,12.0,5.5,107.0,245.0,912.0,6.0,3.7,52.0,62.0,496.0,8.0,,
13,14.0,Atlanta Falcons,9.0,183.0,2963.0,610.0,4.9,21.0,10.0,190.0,176.0,275.0,1782.0,9.0,11.0,5.9,92.0,310.0,1181.0,12.0,3.8,79.0,77.0,655.0,19.0,,
