,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,Buffalo Bills,14.0,420.0,5467.0,964.0,5.7,34.0,15.0,318.0,182.0,354.0,2493.0,28.0,19.0,6.6,132.0,588.0,2974.0,26.0,5.1,162.0,90.0,748.0,24.0,,
1,2.0,Baltimore Colts,14.0,395.0,4498.0,928.0,4.8,18.0,10.0,266.0,211.0,354.0,2281.0,19.0,8.0,5.8,114.0,536.0,2217.0,28.0,4.1,131.0,80.0,760.0,21.0,,
2,3.0,Minnesota Vikings,14.0,377.0,4955.0,1031.0,4.8,26.0,12.0,314.0,281.0,446.0,2861.0,27.0,14.0,6.0,156.0,556.0,2094.0,18.0,3.8,142.0,90.0,708.0,16.0,,
3,4.0,Oakland Raiders,14.0,375.0,4964.0,1019.0,4.9,48.0,20.0,315.0,196.0,350.0,2391.0,19.0,28.0,6.4,139.0,643.0,2573.0,28.0,4.0,159.0,101.0,951.0,17.0,,
4,5.0,Pittsburgh Steelers,14.0,373.0,4887.0,949.0,5.1,32.0,20.0,288.0,191.0,337.0,2254.0,21.0,12.0,6.1,125.0,581.0,2633.0,22.0,4.5,149.0,89.0,756.0,14.0,,
5,6.0,Miami Dolphins,14.0,357.0,4509.0,896.0,5.0,26.0,9.0,266.0,170.0,279.0,2009.0,19.0,17.0,6.7,108.0,594.0,2500.0,26.0,4.2,136.0,74.0,575.0,22.0,,
6,7.0,St. Louis Cardinals,14.0,356.0,4955.0,918.0,5.4,39.0,19.0,276.0,187.0,355.0,2553.0,20.0,20.0,7.0,128.0,555.0,2402.0,19.0,4.3,131.0,83.0,730.0,17.0,,
7,8.0,Dallas Cowboys,14.0,350.0,5025.0,986.0,5.1,35.0,18.0,288.0,207.0,376.0,2593.0,19.0,17.0,6.2,142.0,571.0,2432.0,17.0,4.3,132.0,94.0,715.0,14.0,,
8,9.0,Cincinnati Bengals,14.0,340.0,5060.0,966.0,5.2,34.0,20.0,295.0,255.0,433.0,3241.0,23.0,14.0,6.9,166.0,499.0,1819.0,20.0,3.6,107.0,88.0,783.0,22.0,,
9,10.0,Washington Redskins,14.0,325.0,4669.0,919.0,5.1,46.0,17.0,272.0,229.0,448.0,2917.0,28.0,29.0,6.1,150.0,444.0,1752.0,9.0,3.9,97.0,78.0,723.0,25.0,,
10,11.0,Los Angeles Rams,14.0,312.0,4566.0,949.0,4.8,25.0,8.0,273.0,181.0,334.0,2195.0,14.0,17.0,6.0,120.0,585.0,2371.0,18.0,4.1,134.0,73.0,746.0,19.0,,
11,12.0,Houston Oilers,14.0,293.0,3937.0,900.0,4.4,34.0,17.0,234.0,165.0,347.0,1869.0,14.0,17.0,5.0,90.0,526.0,2068.0,14.0,3.9,121.0,100.0,849.0,23.0,,
