,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,Miami Dolphins,16.0,513.0,6936.0,1070.0,6.5,28.0,10.0,387.0,367.0,572.0,5018.0,49.0,18.0,8.6,243.0,484.0,1918.0,18.0,4.0,115.0,67.0,527.0,29.0,,
1,2.0,San Francisco 49ers,16.0,475.0,6366.0,1057.0,6.0,22.0,12.0,356.0,312.0,496.0,3901.0,32.0,10.0,7.5,204.0,534.0,2465.0,21.0,4.6,138.0,100.0,884.0,14.0,,
2,3.0,Washington Redskins,16.0,426.0,5350.0,1121.0,4.8,28.0,15.0,339.0,286.0,485.0,3076.0,24.0,13.0,5.8,164.0,588.0,2274.0,20.0,3.9,154.0,80.0,723.0,21.0,,
3,4.0,St. Louis Cardinals,16.0,423.0,6345.0,1103.0,5.8,36.0,20.0,345.0,347.0,566.0,4257.0,28.0,16.0,6.9,200.0,488.0,2088.0,21.0,4.3,129.0,109.0,904.0,16.0,,
4,5.0,Seattle Seahawks,16.0,418.0,5068.0,1034.0,4.9,39.0,13.0,287.0,283.0,497.0,3423.0,32.0,26.0,6.4,171.0,495.0,1645.0,10.0,3.3,94.0,128.0,1179.0,22.0,,
5,6.0,San Diego Chargers,16.0,394.0,6297.0,1154.0,5.5,38.0,17.0,374.0,401.0,662.0,4643.0,25.0,21.0,6.7,240.0,456.0,1654.0,18.0,3.6,106.0,112.0,1023.0,28.0,,
6,7.0,Green Bay Packers,16.0,390.0,5449.0,1009.0,5.4,37.0,7.0,315.0,281.0,506.0,3430.0,30.0,30.0,6.3,168.0,461.0,2019.0,18.0,4.4,120.0,110.0,915.0,27.0,,
7,8.0,Pittsburgh Steelers,16.0,387.0,5420.0,1052.0,5.2,40.0,15.0,302.0,240.0,443.0,3241.0,25.0,25.0,6.8,167.0,574.0,2179.0,13.0,3.8,117.0,112.0,948.0,18.0,,
8,9.0,Los Angeles Raiders,16.0,368.0,5244.0,1061.0,4.9,48.0,20.0,301.0,266.0,491.0,3358.0,21.0,28.0,6.2,162.0,516.0,1886.0,19.0,3.7,114.0,143.0,1209.0,25.0,,
9,10.0,New England Patriots,16.0,362.0,5263.0,1048.0,5.0,29.0,15.0,315.0,292.0,500.0,3231.0,26.0,14.0,5.7,186.0,482.0,2032.0,15.0,4.2,104.0,86.0,674.0,25.0,,
10,11.0,Denver Broncos,16.0,353.0,4935.0,1018.0,4.8,34.0,17.0,299.0,263.0,475.0,2859.0,22.0,17.0,5.6,152.0,508.0,2076.0,12.0,4.1,121.0,78.0,636.0,26.0,,
11,12.0,Los Angeles Rams,16.0,346.0,5006.0,931.0,5.4,35.0,18.0,258.0,176.0,358.0,2142.0,16.0,17.0,5.5,100.0,541.0,2864.0,16.0,5.3,140.0,93.0,830.0,18.0,,
12,13.0,Cincinnati Bengals,16.0,339.0,5480.0,1081.0,5.1,39.0,17.0,339.0,306.0,496.0,3301.0,17.0,22.0,6.1,179.0,540.0,2179.0,18.0,4.0,135.0,85.0,693.0,25.0,,
13,14.0,Tampa Bay Buccaneers,16.0,335.0,5321.0,1091.0,4.9,43.0,20.0,344.0,334.0,563.0,3545.0,22.0,23.0,5.8,209.0,483.0,1776.0,17.0,3.7,114.0,118.0,875.0,21.0,,
14,15.0,New York Jets,16.0,332.0,5148.0,1044.0,4.9,34.0,13.0,310.0,272.0,488.0,2959.0,20.0,21.0,5.5,176.0,504.0,2189.0,17.0,4.3,118.0,96.0,779.0,16.0,,
15,16.0,Chicago Bears,16.0,325.0,5437.0,1100.0,4.9,31.0,16.0,297.0,226.0,390.0,2463.0,14.0,15.0,5.8,115.0,674.0,2974.0,22.0,4.4,164.0,114.0,851.0,18.0,,
16,17.0,Kansas City Chiefs,16.0,314.0,5095.0,1034.0,4.9,37.0,15.0,295.0,305.0,593.0,3568.0,21.0,22.0,5.7,178.0,408.0,1527.0,12.0,3.7,88.0,98.0,801.0,29.0,,
17,18.0,Dallas Cowboys,16.0,308.0,5320.0,1121.0,4.7,43.0,17.0,323.0,322.0,604.0,3606.0,19.0,26.0,5.5,202.0,469.0,1714.0,12.0,3.7,93.0,100.0,947.0,28.0,,
18,19.0,New York Giants,16.0,299.0,5292.0,1083.0,4.9,27.0,9.0,310.0,288.0,535.0,3632.0,22.0,18.0,6.2,198.0,493.0,1660.0,12.0,3.4,97.0,79.0,703.0,15.0,,
