,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,Baltimore Colts,12.0,374.0,4458.0,833.0,5.4,23.0,9.0,267.0,196.0,375.0,2753.0,33.0,14.0,6.9,148.0,435.0,1705.0,13.0,3.9,95.0,56.0,634.0,24.0,,
1,2.0,New York Giants,12.0,284.0,4173.0,748.0,5.6,33.0,20.0,198.0,165.0,302.0,2527.0,18.0,13.0,8.0,106.0,433.0,1646.0,11.0,3.8,82.0,54.0,480.0,10.0,,
2,3.0,Cleveland Browns,12.0,270.0,4015.0,754.0,5.3,14.0,5.0,234.0,159.0,276.0,1866.0,14.0,9.0,6.3,109.0,457.0,2149.0,20.0,4.7,118.0,36.0,329.0,7.0,,
3,4.0,Philadelphia Eagles,12.0,268.0,3887.0,752.0,5.2,24.0,8.0,211.0,194.0,352.0,2572.0,17.0,16.0,7.1,120.0,391.0,1315.0,13.0,3.4,78.0,52.0,501.0,13.0,,
4,5.0,Pittsburgh Steelers,12.0,257.0,3595.0,756.0,4.8,33.0,10.0,207.0,150.0,319.0,2052.0,21.0,23.0,5.9,103.0,406.0,1543.0,10.0,3.8,82.0,60.0,532.0,22.0,,
5,6.0,San Francisco 49ers,12.0,255.0,3388.0,688.0,4.9,32.0,10.0,182.0,132.0,264.0,1549.0,12.0,22.0,5.5,76.0,407.0,1839.0,16.0,4.5,93.0,57.0,489.0,13.0,,
6,7.0,Chicago Bears,12.0,252.0,3511.0,728.0,4.8,32.0,16.0,190.0,156.0,310.0,2073.0,15.0,16.0,6.2,110.0,392.0,1438.0,14.0,3.7,69.0,66.0,597.0,11.0,,
7,8.0,Green Bay Packers,12.0,248.0,3739.0,705.0,5.3,33.0,16.0,212.0,128.0,268.0,1832.0,16.0,17.0,6.5,87.0,421.0,1907.0,15.0,4.5,109.0,49.0,435.0,16.0,,
8,9.0,Los Angeles Rams,12.0,242.0,4260.0,757.0,5.6,41.0,19.0,232.0,196.0,356.0,2482.0,14.0,22.0,6.4,116.0,371.0,1778.0,15.0,4.8,101.0,51.0,465.0,15.0,,
9,10.0,Chicago Cardinals,12.0,234.0,3172.0,673.0,4.7,55.0,36.0,179.0,125.0,280.0,1559.0,14.0,19.0,5.1,80.0,367.0,1613.0,10.0,4.4,85.0,44.0,431.0,14.0,,
10,11.0,Detroit Lions,12.0,203.0,3456.0,785.0,4.4,46.0,19.0,198.0,136.0,328.0,1664.0,10.0,27.0,4.3,87.0,399.0,1792.0,13.0,4.5,90.0,65.0,496.0,21.0,,
11,12.0,Washington Redskins,12.0,185.0,3487.0,744.0,4.7,40.0,17.0,193.0,121.0,284.0,1523.0,13.0,23.0,4.7,80.0,422.0,1964.0,9.0,4.7,94.0,51.0,453.0,19.0,,
12,,Avg Team,,256.0,3761.8,743.6,5.1,33.8,15.4,208.6,154.8,309.5,2037.7,16.4,18.4,6.1,101.8,408.4,1724.1,13.3,4.2,91.3,53.4,486.8,15.4,,
13,,League Total,,3072.0,45141.0,8923.0,5.1,406.0,185.0,2503.0,1858.0,3714.0,24452.0,197.0,221.0,6.1,1222.0,4901.0,20689.0,159.0,4.2,1096.0,641.0,5842.0,185.0,,
14,,Avg Tm/G,,21.3,313.5,62.0,5.1,2.8,1.3,17.4,12.9,25.8,169.8,1.4,1.5,6.1,8.5,34.0,143.7,1.1,4.2,7.6,4.5,40.6,1.3,,
