,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
36,1987,Denver Broncos,Reeves,Mecklenburg,Elway,Winder,Johnson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
37,1986,Denver Broncos,Reeves,Jones,Elway,Winder,Jackson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
38,1985,Denver Broncos,Reeves,Jones,Elway,Winder,Watson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
39,1984,Denver Broncos,Reeves,Jones,Elway,Winder,Watson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
40,1983,Denver Broncos,Reeves,Gradishar,Elway,Winder,Watson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
41,1982,Denver Broncos,Reeves,Gradishar,DeBerg,Willhite,Watson,/teams/den/,Steve DeBerg,/players/D/DebeSt00.htm,Dan Reeves,/coaches/ReevDa0.htm
42,1981,Denver Broncos,Reeves,Swenson,Morton,Parros,Watson,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Dan Reeves,/coaches/ReevDa0.htm
43,1980,Denver Broncos,Miller,Thompson,Morton,Jensen,Moses,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Red Miller,/coaches/MillRe0.htm
44,1979,Denver Broncos,Miller,Wright,Morton,Armstrong,Moses,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Red Miller,/coaches/MillRe0.htm
45,1978,Denver Broncos,Miller,Wright,Morton,Perrin,Odoms,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Red Miller,/coaches/MillRe0.htm
46,1977,Denver Broncos,Miller,Gradishar,Morton,Armstrong,Moses,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Red Miller,/coaches/MillRe0.htm
47,1976,Denver Broncos,Ralston,Armstrong,Ramsey,Armstrong,Moses,/teams/den/,Steve Ramsey,/players/R/RamsSt00.htm,John Ralston,/coaches/RalsJo0.htm
48,1975,Denver Broncos,Ralston,Gradishar,Ramsey,Keyworth,Odoms,/teams/den/,Steve Ramsey,/players/R/RamsSt00.htm,John Ralston,/coaches/RalsJo0.htm
49,1974,Denver Broncos,Ralston,Armstrong,Johnson,Armstrong,Odoms,/teams/den/,Charley Johnson,/players/J/JohnCh02.htm,John Ralston,/coaches/RalsJo0.htm
50,1973,Denver Broncos,Ralston,Little,Johnson,Little,Odoms,/teams/den/,Charley Johnson,/players/J/JohnCh02.htm,John Ralston,/coaches/RalsJo0.htm
51,1972,Denver Broncos,Ralston,Little,Johnson,Little,Sherman,/teams/den/,Charley Johnson,/players/J/JohnCh02.htm,John Ralston,/coaches/RalsJo0.htm
52,1971,Denver Broncos,"Smith,Saban",Little,Ramsey,Little,Simmons,/teams/den/,Steve Ramsey,/players/R/RamsSt00.htm,"Jerry Smith,Lou Saban","/coaches/SmitJe0.htm,/coaches/SabaLo0.htm"
53,1970,Denver Broncos,Saban,Jackson,Liske,Little,Denson,/teams/den/,Pete Liske,/players/L/LiskPe00.htm,Lou Saban,/coaches/SabaLo0.htm
54,1969,Denver Broncos,Saban,Thompson,Tensi,Little,Denson,/teams/den/,Steve Tensi,/players/T/TensSt00.htm,Lou Saban,/coaches/SabaLo0.htm
55,1968,Denver Broncos,Saban,Jackson,Briscoe,Little,Crabtree,/teams/den/,Marlin Briscoe,/players/B/BrisMa00.htm,Lou Saban,/coaches/SabaLo0.htm
56,1967,Denver Broncos,Saban,Costa,Tensi,Little,Denson,/teams/den/,Steve Tensi,/players/T/TensSt00.htm,Lou Saban,/coaches/SabaLo0.htm
57,1966,Denver Broncos,"Malavasi,Speedie",Bramlett,Choboian,Hayes,Denson,/teams/den/,Max Choboian,/players/C/ChobMa00.htm,"Ray Malavasi,Mac Speedie","/coaches/MalaRa0.htm,/coaches/SpeeMa0.htm"
58,1965,Denver Broncos,Speedie,Taylor,McCormick,Gilchrist,Taylor,/teams/den/,John McCormick,/players/M/McCoJo00.htm,Mac Speedie,/coaches/SpeeMa0.htm
59,1964,Denver Broncos,"Speedie,Faulkner",Brown,Lee,Mitchell,Taylor,/teams/den/,Jacky Lee,/players/L/LeexJa00.htm,"Mac Speedie,Jack Faulkner","/coaches/SpeeMa0.htm,/coaches/FaulJa0.htm"
60,1963,Denver Broncos,Faulkner,Taylor,Slaughter,Joe,Taylor,/teams/den/,Mickey Slaughter,/players/S/SlauMi00.htm,Jack Faulkner,/coaches/FaulJa0.htm
61,1962,Denver Broncos,Faulkner,McFadin,Tripucka,Stone,Taylor,/teams/den/,Frank Tripucka,/players/T/TripFr00.htm,Jack Faulkner,/coaches/FaulJa0.htm
64,1961,Denver Broncos,Filchock,McFadin,Tripucka,Stone,Taylor,/teams/den/,Frank Tripucka,/players/T/TripFr00.htm,Frank Filchock,/coaches/FilcFr0.htm
65,1960,Denver Broncos,Filchock,Gonsoulin,Tripucka,Rolle,Taylor,/teams/den/,Frank Tripucka,/players/T/TripFr00.htm,Frank Filchock,/coaches/FilcFr0.htm
