,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
60,1960,Cleveland Browns,Brown,Brown,Plum,Brown,Nagler,/teams/cle/,Milt Plum,/players/P/PlumMi00.htm,Paul Brown,/coaches/BrowPa0.htm
61,1959,Cleveland Browns,Brown,,Plum,Brown,Renfro,/teams/cle/,Milt Plum,/players/P/PlumMi00.htm,Paul Brown,/coaches/BrowPa0.htm
64,1958,Cleveland Browns,Brown,,Plum,Brown,Renfro,/teams/cle/,Milt Plum,/players/P/PlumMi00.htm,Paul Brown,/coaches/BrowPa0.htm
65,1957,Cleveland Browns,Brown,,O'Connell,Brown,Brewster,/teams/cle/,Tommy O'Connell,/players/O/OConTo00.htm,Paul Brown,/coaches/BrowPa0.htm
66,1956,Cleveland Browns,Brown,,O'Connell,Carpenter,Brewster,/teams/cle/,Tommy O'Connell,/players/O/OConTo00.htm,Paul Brown,/coaches/BrowPa0.htm
67,1955,Cleveland Browns,Brown,,Graham,Morrison,Brewster,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
68,1954,Cleveland Browns,Brown,,Graham,Bassett,Lavelli,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
69,1953,Cleveland Browns,Brown,,Graham,Renfro,Lavelli,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
70,1952,Cleveland Browns,Brown,,Graham,Motley,Speedie,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
71,1951,Cleveland Browns,Brown,,Graham,Jones,Speedie,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
72,1950,Cleveland Browns,Brown,,Graham,Motley,Lavelli,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
73,1949,Cleveland Browns,Brown,,Graham,Motley,Speedie,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
74,1948,Cleveland Browns,Brown,,Graham,Motley,Speedie,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
75,1947,Cleveland Browns,Brown,,Graham,Motley,Speedie,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
76,1946,Cleveland Browns,Brown,,Graham,Motley,Lavelli,/teams/cle/,Otto Graham,/players/G/GrahOt00.htm,Paul Brown,/coaches/BrowPa0.htm
