,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
35,1988,Dallas Cowboys,Landry,Walker,Pelluer,Walker,Alexander,/teams/dal/,Steve Pelluer,/players/P/PellSt00.htm,Tom Landry,/coaches/LandTo0.htm
36,1987,Dallas Cowboys,Landry,Walker,White,Walker,Walker,/teams/dal/,Danny White,/players/W/WhitDa01.htm,Tom Landry,/coaches/LandTo0.htm
37,1986,Dallas Cowboys,Landry,Walker,Pelluer,Dorsett,Walker,/teams/dal/,Steve Pelluer,/players/P/PellSt00.htm,Tom Landry,/coaches/LandTo0.htm
38,1985,Dallas Cowboys,Landry,White,White,Dorsett,Hill,/teams/dal/,Danny White,/players/W/WhitDa01.htm,Tom Landry,/coaches/LandTo0.htm
39,1984,Dallas Cowboys,Landry,White,Hogeboom,Dorsett,Hill,/teams/dal/,Gary Hogeboom,/players/H/HogeGa00.htm,Tom Landry,/coaches/LandTo0.htm
40,1983,Dallas Cowboys,Landry,White,White,Dorsett,Hill,/teams/dal/,Danny White,/players/W/WhitDa01.htm,Tom Landry,/coaches/LandTo0.htm
41,1982,Dallas Cowboys,Landry,Jones,White,Dorsett,Hill,/teams/dal/,Danny White,/players/W/WhitDa01.htm,Tom Landry,/coaches/LandTo0.htm
42,1981,Dallas Cowboys,Landry,White,White,Dorsett,Hill,/teams/dal/,Danny White,/players/W/WhitDa01.htm,Tom Landry,/coaches/LandTo0.htm
43,1980,Dallas Cowboys,Landry,Scott,White,Dorsett,Hill,/teams/dal/,Danny White,/players/W/WhitDa01.htm,Tom Landry,/coaches/LandTo0.htm
44,1979,Dallas Cowboys,Landry,Staubach,Staubach,Dorsett,Hill,/teams/dal/,Roger Staubach,/players/S/StauRo00.htm,Tom Landry,/coaches/LandTo0.htm
45,1978,Dallas Cowboys,Landry,Staubach,Staubach,Dorsett,Hill,/teams/dal/,Roger Staubach,/players/S/StauRo00.htm,Tom Landry,/coaches/LandTo0.htm
46,1977,Dallas Cowboys,Landry,Staubach,Staubach,Dorsett,Pearson,/teams/dal/,Roger Staubach,/players/S/StauRo00.htm,Tom Landry,/coaches/LandTo0.htm
47,1976,Dallas Cowboys,Landry,Staubach,Staubach,Dennison,Pearson,/teams/dal/,Roger Staubach,/players/S/StauRo00.htm,Tom Landry,/coaches/LandTo0.htm
48,1975,Dallas Cowboys,Landry,Staubach,Staubach,Newhouse,Pearson,/teams/dal/,Roger Staubach,/players/S/StauRo00.htm,Tom Landry,/coaches/LandTo0.htm
49,1974,Dallas Cowboys,Landry,Staubach,Staubach,Hill,Pearson,/teams/dal/,Roger Staubach,/players/S/StauRo00.htm,Tom Landry,/coaches/LandTo0.htm
50,1973,Dallas Cowboys,Landry,Hill,Staubach,Hill,DuPree,/teams/dal/,Roger Staubach,/players/S/StauRo00.htm,Tom Landry,/coaches/LandTo0.htm
51,1972,Dallas Cowboys,Landry,Wright,Morton,Hill,Sellers,/teams/dal/,Craig Morton,/players/M/MortCr00.htm,Tom Landry,/coaches/LandTo0.htm
52,1971,Dallas Cowboys,Landry,Wright,Staubach,Thomas,Hayes,/teams/dal/,Roger Staubach,/players/S/StauRo00.htm,Tom Landry,/coaches/LandTo0.htm
53,1970,Dallas Cowboys,Landry,Howley,Morton,Thomas,Hayes,/teams/dal/,Craig Morton,/players/M/MortCr00.htm,Tom Landry,/coaches/LandTo0.htm
54,1969,Dallas Cowboys,Landry,Andrie,Morton,Hill,Rentzel,/teams/dal/,Craig Morton,/players/M/MortCr00.htm,Tom Landry,/coaches/LandTo0.htm
55,1968,Dallas Cowboys,Landry,Howley,Meredith,Perkins,Rentzel,/teams/dal/,Don Meredith,/players/M/MereDo00.htm,Tom Landry,/coaches/LandTo0.htm
56,1967,Dallas Cowboys,Landry,Green,Meredith,Perkins,Hayes,/teams/dal/,Don Meredith,/players/M/MereDo00.htm,Tom Landry,/coaches/LandTo0.htm
57,1966,Dallas Cowboys,Landry,Meredith,Meredith,Reeves,Hayes,/teams/dal/,Don Meredith,/players/M/MereDo00.htm,Tom Landry,/coaches/LandTo0.htm
58,1965,Dallas Cowboys,Landry,Lilly,Meredith,Perkins,Hayes,/teams/dal/,Don Meredith,/players/M/MereDo00.htm,Tom Landry,/coaches/LandTo0.htm
59,1964,Dallas Cowboys,Landry,Lilly,Meredith,Perkins,Clarke,/teams/dal/,Don Meredith,/players/M/MereDo00.htm,Tom Landry,/coaches/LandTo0.htm
60,1963,Dallas Cowboys,Landry,Meredith,Meredith,Perkins,Clarke,/teams/dal/,Don Meredith,/players/M/MereDo00.htm,Tom Landry,/coaches/LandTo0.htm
61,1962,Dallas Cowboys,Landry,Marsh,Meredith,Perkins,Clarke,/teams/dal/,Don Meredith,/players/M/MereDo00.htm,Tom Landry,/coaches/LandTo0.htm
64,1961,Dallas Cowboys,Landry,Bishop,LeBaron,Perkins,Clarke,/teams/dal/,Eddie LeBaron,/players/L/LeBaEd00.htm,Tom Landry,/coaches/LandTo0.htm
65,1960,Dallas Cowboys,Landry,Doran,LeBaron,Dupre,Doran,/teams/dal/,Eddie LeBaron,/players/L/LeBaEd00.htm,Tom Landry,/coaches/LandTo0.htm
