,-0.07414687679,3.752754848,,,,,,,,,,,,,,
,EXPSEP,SEPOE,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,#ERROR!
Dallas Goedert,3.100262332,-0.2002623319,PHI,TE,6.4,2.9,8.8,11.03,46,65,70.77,524,3,4.5,4.1,0.4
Zach Ertz,3.211482647,-0.211482647,PHI,TE,5.9,3,7.3,10.24,36,72,50,335,1,2.9,3.2,-0.3
Nelson Agholor,2.618307633,-0.2183076327,LV,WR,5.2,2.4,15.3,28.97,48,82,58.54,896,8,5.3,4.2,1.1
JuJu Smith-Schuster,3.322702962,-0.2227029622,PIT,WR,6.1,3.1,5.8,15.72,97,128,75.78,831,9,4.4,4.1,0.3
Tim Patrick,2.825918888,-0.2259188877,DEN,WR,5.7,2.6,12.5,19.69,51,79,64.56,742,6,5,3.9,1.1
Jimmy Graham,3.226312022,-0.2263120224,CHI,TE,5.8,3,7.1,11.47,50,76,65.79,456,8,4.1,4,0.2
Austin Hooper,3.226312022,-0.2263120224,CLE,TE,5.3,3,7.1,11.77,46,70,65.71,435,4,3.8,5.3,-1.5
Brandon Aiyuk,3.033530143,-0.2335301427,SF,WR,5.5,2.8,9.7,24.86,60,96,62.5,748,5,4.9,4.1,0.8
Terry McLaurin,3.04094483,-0.2409448304,WAS,WR,5.2,2.8,9.6,36,87,134,64.93,1118,4,5.8,4.1,1.7
Kendrick Bourne,3.04094483,-0.2409448304,SF,WR,6.2,2.8,9.6,19.12,49,74,66.22,667,2,4.5,3.5,1.1
N'Keal Harry,3.144750458,-0.2447504579,NE,WR,6,2.9,8.2,15.78,33,57,57.89,309,2,3.3,2.9,0.5
D.J. Moore,2.759186699,-0.2591866986,CAR,WR,6,2.5,13.4,39.57,66,118,55.93,1193,4,6.1,4.2,1.8
Chase Claypool,2.766601386,-0.2666013863,PIT,WR,5.7,2.5,13.3,30.56,62,109,56.88,859,9,5.2,3.4,1.8
Isaiah Ford,3.070603581,-0.2706035811,MIA,WR,5.6,2.8,9.2,9.55,28,44,63.64,276,0,2.9,2.8,0.1
Travis Fulgham,2.781430762,-0.2814307617,PHI,WR,6,2.5,13.1,16.95,38,67,56.72,539,4,2.9,2.4,0.5
Marvin Jones,2.796260137,-0.296260137,DET,WR,6.7,2.5,12.9,30.03,76,115,66.09,978,9,2.8,2.5,0.3
Justin Jefferson,2.900065765,-0.3000657645,MIN,WR,5.8,2.6,11.5,36.37,88,125,70.4,1400,7,5.3,3.4,1.9
Russell Gage,3.100262332,-0.3002623319,ATL,WR,5.5,2.8,8.8,17.98,72,109,66.06,786,4,4.1,4.1,0
T.Y. Hilton,2.811089512,-0.3110895124,IND,WR,5.2,2.5,12.7,29.63,56,93,60.22,762,5,3.6,3.4,0.2
Logan Thomas,3.211482647,-0.311482647,WAS,TE,5.8,2.9,7.3,22.47,72,110,65.45,670,6,4.1,3.4,0.7
Keenan Allen,3.218897335,-0.3188973347,LAC,WR,5.7,2.9,7.2,22.63,100,147,68.03,992,8,4.7,4.7,0
Evan Engram,3.226312022,-0.3263120224,NYG,TE,6.3,2.9,7.1,19.73,63,109,57.8,654,1,4.7,3.8,0.9
Randall Cobb,3.23372671,-0.3337267101,HOU,WR,6.5,2.9,7,7.1,38,48,79.17,441,3,4.7,4.7,0
Tee Higgins,2.862992326,-0.3629923261,CIN,WR,6.4,2.5,12,27.64,67,108,62.04,908,6,4.6,3.2,1.4
Mark Andrews,2.981627329,-0.381627329,BAL,TE,5.6,2.6,10.4,26.22,58,88,65.91,701,7,3.4,3.3,0
D.J. Chark,2.699869197,-0.3998691972,JAX,WR,5.6,2.3,14.2,27.48,53,93,56.99,706,5,3.3,2.9,0.4
Darius Slayton,2.707283885,-0.4072838849,NYG,WR,5.4,2.3,14.1,34.44,50,96,52.08,751,3,3.2,2.9,0.3
Tyler Boyd,3.115091707,-0.4150917072,CIN,WR,5.9,2.7,8.6,20.15,79,110,71.82,841,4,4.8,3.5,1.2
Corey Davis,2.840748263,-0.4407482631,TEN,WR,6.8,2.4,12.3,28.84,65,92,70.65,984,5,4.5,4,0.5
Josh Reynolds,2.951968578,-0.4519685783,LAR,WR,5.3,2.5,10.8,22.89,52,81,64.2,618,2,4.2,3.9,0.2
James Washington,2.788845449,-0.4888454493,PIT,WR,5.7,2.3,13,15.33,30,56,53.57,392,5,4.6,3.3,1.3
A.J. Brown,2.91489514,-0.5148951399,TEN,WR,5.4,2.4,11.3,30.6,70,106,66.04,1075,11,6.2,3.6,2.6
Mike Williams,2.633137008,-0.5331370081,LAC,WR,5.5,2.1,15.1,27.24,48,85,56.47,756,5,3.4,2.7,0.8
Denzel Mims,2.633137008,-0.5331370081,NYJ,WR,5,2.1,15.1,16.56,23,44,52.27,357,0,5,3.5,1.5
Michael Thomas,3.04094483,-0.5409448304,NO,WR,5.1,2.5,9.6,16.25,40,55,72.73,438,0,2.1,2.4,-0.3
Amari Cooper,3.078018269,-0.5780182688,DAL,WR,6.6,2.5,9.1,25.54,92,130,70.77,1114,5,4.6,3.7,0.9
Tyler Eifert,3.122506395,-0.6225063949,JAX,TE,6.3,2.5,8.5,10.63,36,60,60,349,2,3.2,3,0.2
Hunter Henry,3.13733577,-0.6373357703,LAC,TE,5.2,2.5,8.3,16.38,60,93,64.52,613,4,4.2,3.4,0.8
Jared Cook,2.885236389,-0.6852363892,NO,TE,6.3,2.2,11.7,21.53,37,60,61.67,504,7,3.3,2,1.3
Allen Robinson,3.048359518,-0.7483595181,CHI,WR,5.6,2.3,9.5,30.49,102,151,67.55,1250,6,3.6,3.3,0.4
Anthony Firkser,3.218897335,-0.8188973347,TEN,TE,6.4,2.4,7.2,9.69,39,53,73.58,387,1,3.7,3.1,0.6
Mike Gesicki,2.929724515,-0.9297245152,MIA,TE,5.9,2,11.1,22.26,53,85,62.35,703,6,3.8,3.3,0.4
Golden Tate,3.078018269,-0.9780182688,NYG,WR,6.6,2.1,9.1,12.07,35,52,67.31,388,2,2.4,2.5,-0.1
A.J. Green,2.72211326,-1.02211326,CIN,WR,5.3,1.7,13.9,30.72,47,104,45.19,523,2,2.1,1.9,0.2
Jordan Reed,3.122506395,-1.022506395,SF,TE,5.5,2.1,8.5,10.43,26,46,56.52,231,4,3.3,2.5,0.7
DeVante Parker,2.989042017,-1.289042017,MIA,WR,4.8,1.7,10.3,25.01,63,103,61.17,793,4,3,2.2,0.7
